,zcta,positive,prev_positive,daily_new,datetime
2475,10314,452,,,2020-03-31
855,10023,190,,,2020-03-31
7605,11434,358,,,2020-03-31
1080,10028,189,,,2020-03-31
450,10012,68,,,2020-03-31
1125,10029,290,,,2020-03-31
3195,10466,362,,,2020-03-31
3375,10470,83,,,2020-03-31
6570,11377,364,,,2020-03-31
5400,11234,364,,,2020-03-31
3060,10463,253,,,2020-03-31
945,10025,252,,,2020-03-31
4455,11212,254,,,2020-03-31
2565,10452,367,,,2020-03-31
2115,10304,289,,,2020-03-31
4095,11204,534,,,2020-03-31
585,10016,288,,,2020-03-31
3600,10475,255,,,2020-03-31
5535,11237,184,,,2020-03-31
270,10007,26,,,2020-03-31
2970,10461,376,,,2020-03-31
3015,10462,377,,,2020-03-31
4995,11224,133,,,2020-03-31
720,10019,187,,,2020-03-31
6345,11370,378,,,2020-03-31
4545,11214,251,,,2020-03-31
2745,10456,355,,,2020-03-31
5085,11226,344,,,2020-03-31
6795,11412,245,,,2020-03-31
4950,11223,346,,,2020-03-31
675,10018,66,,,2020-03-31
630,10017,45,,,2020-03-31
6435,11373,831,,,2020-03-31
3645,11004,121,,,2020-03-31
5445,11235,348,,,2020-03-31
6660,11379,195,,,2020-03-31
495,10013,122,120.0,2.0,2020-03-31
4680,11217,130,,,2020-03-31
45,10002,250,,,2020-03-31
4725,11218,350,,,2020-03-31
4275,11208,350,,,2020-03-31
810,10022,123,,,2020-03-31
2250,10307,67,,,2020-03-31
7920,11697,25,,,2020-03-31
180,10005,25,,,2020-03-31
3105,10464,25,,,2020-03-31
990,10026,126,,,2020-03-31
6615,11378,156,,,2020-03-31
7650,11435,293,,,2020-03-31
1755,10069,24,,,2020-03-31
5670,11354,134,,,2020-03-31
2925,10460,255,,,2020-03-31
5580,11238,183,,,2020-03-31
2340,10309,170,,,2020-03-31
1035,10027,170,,,2020-03-31
3690,11101,148,,,2020-03-31
6930,11415,149,,,2020-03-31
5490,11236,416,,,2020-03-31
3150,10465,267,,,2020-03-31
5040,11225,267,,,2020-03-31
6525,11375,418,,,2020-03-31
6750,11411,151,,,2020-03-31
6120,11365,166,,,2020-03-31
1305,10033,264,,,2020-03-31
3330,10469,470,,,2020-03-31
7470,11429,163,,,2020-03-31
5805,11357,162,,,2020-03-31
4635,11216,162,,,2020-03-31
6885,11414,162,,,2020-03-31
90,10003,161,,,2020-03-31
1530,10038,76,,,2020-03-31
6705,11385,425,,,2020-03-31
1800,10075,160,,,2020-03-31
7560,11433,155,,,2020-03-31
2205,10306,278,,,2020-03-31
7290,11423,164,,,2020-03-31
7020,11417,173,,,2020-03-31
6390,11372,492,,,2020-03-31
1395,10035,147,,,2020-03-31
2610,10453,386,,,2020-03-31
4365,11210,386,,,2020-03-31
6030,11363,27,,,2020-03-31
7110,11419,182,,,2020-03-31
4140,11205,182,,,2020-03-31
6255,11368,947,,,2020-03-31
4500,11213,394,,,2020-03-31
315,10009,181,,,2020-03-31
7380,11427,181,,,2020-03-31
3285,10468,397,,,2020-03-31
4590,11215,178,,,2020-03-31
540,10014,140,,,2020-03-31
4860,11221,260,,,2020-03-31
6840,11413,261,,,2020-03-31
2160,10305,178,,,2020-03-31
7875,11694,143,,,2020-03-31
3915,11106,144,,,2020-03-31
2700,10455,176,,,2020-03-31
2295,10308,146,,,2020-03-31
7515,11432,405,,,2020-03-31
1980,10301,175,,,2020-03-31
2655,10454,174,,,2020-03-31
4815,11220,264,,,2020-03-31
1710,10065,121,,,2020-03-31
4050,11203,343,,,2020-03-31
5265,11231,127,,,2020-03-31
1890,10280,17,,,2020-03-31
3420,10471,104,,,2020-03-31
3870,11105,104,,,2020-03-31
3735,11102,105,,,2020-03-31
2070,10303,106,,,2020-03-31
135,10004,16,,,2020-03-31
6210,11367,318,,,2020-03-31
5715,11355,213,,,2020-03-31
2025,10302,61,,,2020-03-31
6165,11366,106,,,2020-03-31
3780,11103,104,,,2020-03-31
1665,10044,49,,,2020-03-31
1845,10128,212,,,2020-03-31
1170,10030,106,,,2020-03-31
765,10021,211,,,2020-03-31
1350,10034,108,,,2020-03-31
7245,11422,211,,,2020-03-31
1485,10037,109,108.0,1.0,2020-03-31
7785,11692,110,,,2020-03-31
5760,11356,110,,,2020-03-31
7425,11428,112,,,2020-03-31
6480,11374,319,,,2020-03-31
0,10001,113,,,2020-03-31
5175,11229,316,,,2020-03-31
7335,11426,101,,,2020-03-31
225,10006,6,,,2020-03-31
7155,11420,223,,,2020-03-31
3240,10467,638,,,2020-03-31
405,10011,222,,,2020-03-31
5355,11233,225,,,2020-03-31
4905,11222,96,,,2020-03-31
3465,10472,302,,,2020-03-31
2385,10310,97,,,2020-03-31
3555,10474,55,,,2020-03-31
5130,11228,101,,,2020-03-31
3510,10473,304,,,2020-03-31
2790,10457,306,,,2020-03-31
5220,11230,631,,,2020-03-31
2880,10459,227,,,2020-03-31
7065,11418,216,,,2020-03-31
1260,10032,308,,,2020-03-31
7695,11436,100,,,2020-03-31
360,10010,101,,,2020-03-31
3960,11109,13,,,2020-03-31
5895,11360,59,,,2020-03-31
1215,10031,217,,,2020-03-31
6075,11364,113,,,2020-03-31
7740,11691,436,,,2020-03-31
1440,10036,116,,,2020-03-31
1620,10040,208,,,2020-03-31
3825,11104,85,,,2020-03-31
4185,11206,329,,,2020-03-31
