NAME,LINE,Geometry X Y,
23rd St,4-6-6 Express,40.73986433,-73.986599
Rockaway Ave,A-C,40.67834033,-73.911946
Fulton St,G,40.68711933,-73.975375
Clinton - Washington Aves,G,40.68809433,-73.966796
Hewes St,J-M,40.70689033,-73.953488
191st St,1,40.85522534,-73.929412
Cypress Hills,J,40.68961633,-73.873322
90th St - Elmhurst Av,7,40.74840833,-73.876613
West Farms Sq - E Tremont Av,2-5,40.84020797,-73.87996128
Baychester Ave,5,40.87866333,-73.838591
Park Pl,S,40.674772,-73.957624
Ralph Ave,A-C,40.67882233,-73.920786
New Utrecht Ave,N,40.624842,-73.996353
7th Ave,B-D-E,40.76297049,-73.98169782
Hoyt - Schermerhorn Sts,A-C-G,40.68840881,-73.98503624
Bowery,J-Z,40.72024722,-73.99380691
14th St,F-M,40.73822833,-73.996209
125th St,4-5-6-6 Express,40.80413833,-73.937594
104th St,A-S,40.68171133,-73.837683
Newkirk Ave,B-Q,40.63514227,-73.96269487
Franklin Ave,2-3-4-5,40.67076549,-73.95809974
Newkirk Ave,2-5,40.63999158,-73.94829991
1st Ave,L,40.73097531,-73.98168088
Broadway,G,40.70612691,-73.95031226
Rockaway Park - Beach 116 St,A-S,40.5809562,-73.83559009
85th St - Forest Pky,J,40.69242733,-73.860087
104th-102nd Sts,J-Z,40.69516633,-73.844435
155th St,B-D,40.83013533,-73.938209
Kosciuszko St,J,40.69317233,-73.928509
Ave U,N,40.59723633,-73.979084
49th St,N-Q-R,40.75980231,-73.98420957
45th St,N-R,40.648939,-74.010006
Fresh Pond Rd,M,40.70622633,-73.895898
Woodlawn,4,40.88603733,-73.878751
Vernon Blvd - Jackson Ave,7-7 Express,40.74262633,-73.953581
Bergen St,2-3-4,40.68086247,-73.97499915
145th St,3,40.82042133,-73.936245
176th St,4,40.84848033,-73.911794
Beach 60th St,A,40.59237433,-73.788522
Beach 25th St,A,40.60006633,-73.761353
Woodhaven Blvd,J-Z,40.69370433,-73.852052
74th St - Broadway,7,40.74686791,-73.89120513
Wyckoff Ave,M,40.69945433,-73.912179
