,NAME,LINE,LATITUDE,LONGITUDE,zipcode
0,103rd St,ABC,40.7960610736,-73.9613700822,10025-4403
1,103rd St,466,40.790600333,-73.9474780015,10029
2,103rd St,1,40.7994463339,-73.9683789992,10025
3,103rd St - Corona Plaza,7,40.7498653343,-73.8626999971,11368
4,104th St,AS,40.6817113342,-73.8376829999,11419
5,104th-102nd Sts,JZ,40.6951663319,-73.844434999,11418
6,110th St,466,40.7950203335,-73.944249997,10029
7,111th St,7,40.751730333,-73.8553339973,11368
8,111th St,J,40.6971151444,-73.8367933832,11418
9,111th St,AS,40.6843313334,-73.8321629979,11419
10,116th St,3,40.8020983325,-73.9496250011,10037
11,116th St,466,40.7986293338,-73.9416169983,10037
12,116th St,ABC,40.8050584671,-73.9547977809,10026
13,116th St - Columbia University,1,40.8077223343,-73.9641099979,10027
14,121st St,JZ,40.7004823317,-73.8283489992,11418
15,125th St,4566,40.804138334,-73.9375940002,10035
16,125th St,3,40.8077543328,-73.9454950002,10027
17,125th St,ABCD,40.8110720063,-73.9522479975,10040
18,125th St,1,40.8155813329,-73.9583720009,10115
19,135th St,3,40.8142293335,-73.9407700003,10037
20,135th St,ABC,40.8179058921,-73.9475348083,10030
21,137th St - City College,1,40.8220083326,-73.9536760003,10031
22,138th St - Grand Concourse,5,40.8132243328,-73.9298489995,10451
23,145th St,3,40.820421333,-73.9362449989,10037
24,145th St,1,40.8265513328,-73.9503599981,10031
25,145th St,ABCD,40.8247666941,-73.9440879284,10031
26,149th St - Grand Concourse,5,40.8183304771,-73.9267224746,10451:10455
27,149th St - Grand Concourse,4,40.8183037768,-73.9273847543,10451:10455
29,14th St,ACE,40.7408933336,-74.0016899994,10011
30,14th St,123,40.7378263333,-74.0002010006,10001
28,14th St,FM,40.7382283329,-73.9962089989,10011
31,155th St,BD,40.8301353332,-73.9382089981,10039
32,155th St,AC,40.830518333,-73.9415140003,10040
33,157th St,1,40.8340413335,-73.9448899987,10032
34,15th St - Prospect Park,FG,40.6600360217,-73.9797358061,11215
35,161st St - Yankee Stadium,BD,40.8279053324,-73.9256509975,10452
36,161st St - Yankee Stadium,4,40.8282306606,-73.925691995,10452
37,163rd St - Amsterdam Av,AC,40.8360133326,-73.9398920016,10032
38,167th St,BD,40.8337693321,-73.9184320008,10452
39,167th St,4,40.835537333,-73.9213999976,10452
40,168th St,1,40.8405563329,-73.9401329989,10031
41,168th St,AC,40.8407193335,-73.9395609999,10040
42,169th St,F,40.7105178364,-73.7934741978,11427
43,170th St,4,40.8400753328,-73.9177909971,10468
44,170th St,BD,40.8393063333,-73.913399998,10452
45,174th St,5,40.8371958833,-73.8876935975,10460
46,174th-175th Sts,BD,40.8459003336,-73.910136,10453
47,175th St,A,40.847391334,-73.9397039967,10033
48,176th St,4,40.8484803342,-73.9117939981,10468
49,181st St,A,40.8516953327,-73.9379690016,10040
50,181st St,1,40.8495053333,-73.9335959998,10033
51,182nd-183rd Sts,BD,40.8560933319,-73.9007409993,10457-2919
52,183rd St,4,40.8584073335,-73.9038790007,10468
55,18th Ave,F,40.6297550001,-73.9769709999,11223
53,18th Ave,N,40.6206873312,-73.9904539986,11204
54,18th Ave,D,40.6077360652,-74.0015925925,11204
56,18th St,2,40.741040333,-73.9978710011,10001
57,190th St,A,40.8590223322,-73.9341799994,10040
58,191st St,1,40.855225335,-73.9294119976,10040
59,1st Ave,L,40.7309753088,-73.9816808751,10009
60,207th St,1,40.8646143337,-73.9188190007,10034
61,20th Ave,N,40.617109333,-73.9845219984,11204
62,20th Ave,D,40.6046773311,-73.998174321,11214
63,215th St,1,40.8694443329,-73.9152789993,10034
64,219th St,5,40.8838883075,-73.8625097075,10469
65,21st St,G,40.744129,-73.9495999994,11109
66,21st St - Queensbridge,F,40.753739604,-73.9419376138,11101
67,225th St,5,40.8880285916,-73.8602146169,10470
68,231st St,1,40.8788563319,-73.9048340004,10463
69,233rd St,5,40.8931435751,-73.8573623943,10466
70,238th St,1,40.8846673343,-73.9008699994,10463
