stop_name,line,zipcode,turnstile_station_id,match_method
103st,abc,10025-4403,r314,1
103st,466,10029,r180,1
103st,1,10025,r191,1
103stcoronaplaza,7,11368,r208,3
104st,as,11419,r354,1
104102ndsts,jz,11418,,
110st,466,10029,r181,1
111st,7,11368,r310,1
111st,j,11418,r008,1
111st,as,11419,r355,1
116st,3,10037,r324,1
116st,466,10037,r182,1
116st,abc,10026,r333,1
116stcolumbiauniversity,1,10027,r159,3
121stst,jz,11418,r009,3
125st,4566,10035,r132,1
125st,3,10027,r206,1
125st,abcd,10040,r102,1
125st,1,10115,r034,1
135st,3,10037,r207,1
135st,abc,10030,r332,1
137stcitycollege,1,10031,r169,3
138stgrandconcourse,5,10451,r307,4
145st,3,10037,r344,1
145st,1,10031,r273,1
145st,abcd,10031,r101,1
149stgrandconcourse,5,10451:10455,r205,4
149stgrandconcourse,4,10451:10455,r205,4
14st,fm,10011,r105,1
14st,ace,10011,r354,4
14st,123,10001,r105,1
155st,bd,10039,r315,1
155st,ac,10040,r331,1
157st,1,10032,r193,1
15stprospectpark,fg,11215,r241,3
161ststyankeestadium,bd,10452,r195,4
161ststyankeestadium,4,10452,r195,4
163stamsteamavenue,ac,10032,r296,4
167st,bd,10452,r104,1
167st,4,10452,r221,1
168st,ac,10040,r035,1
168st,1,10031,r035,1
169st,f,11427,r115,1
170st,bd,10452,r443,1
170st,4,10468,r243,1
174st,5,10460,r386,1
174175sts,bd,10453,r253,1
175st,a,10033,r126,1
176st,4,10468,r309,1
181stst,a,10040,r174,3
181stst,1,10033,r260,3
182nd183sts,bd,10457-2919,r237,4
183st,4,10468,r275,1
18avenue,n,11204,r392,1
18avenue,d,11204,r372,1
18avenue,f,11223,r242,1
18st,2,10001,r105,4
190st,a,10040,r280,1
191stst,1,10040,r274,3
1stavenue,l,10009,r248,4
207st,1,10034,r037,1
20avenue,n,11204,r393,1
20avenue,d,11214,r373,1
215st,1,10034,r038,1
219st,5,10469,r365,1
21stst,g,11109,r360,3
21ststqueensbridge,f,11101,r303,4
225st,5,10470,r366,1
231stst,1,10463,r040,3
233st,5,10466,r367,1
238st,1,10463,r306,1
23st,466,10010,r131,1
23st,ace,10011,r111,1
23st,2,10011,r367,4
23st,nr,10010,r083,1
23st,fm,10019,r203,1
23stelyavenue,em,11101,,
25avenue,d,11223,r399,1
25st,dnr,11232,r278,1
